	genename	num_cds_snp	num_genic_snp	num_nonsyn_snp
0	CA03g29430	0	5	0
1	CA05g07370	2	2	2
2	CA11g01500	0	2	0
3	CA11g12540	1	15	0
4	CA03g21140	3	3	3
5	CA04g06040	3	3	3
6	CA01g17660	2	14	1
7	CA03g31310	6	21	3
8	CA10g08880	7	12	4
9	CA02g20320	0	1	0
10	CA09g11100	10	13	6
11	CA06g17800	2	9	1
12	CA01g14460	1	1	1
13	CA07g16240	1	1	0
14	CA07g03140	2	13	0
15	CA05g01430	1	8	0
16	CA03g24240	3	3	2
17	CA03g28740	1	1	1
18	CA02g24510	1	1	1
19	CA04g09170	1	1	1
20	CA11g06990	1	2	0
21	CA03g35120	1	2	0
22	CA06g11560	1	1	1
23	CA11g06380	2	4	0
24	CA11g18140	2	7	0
25	CA05g00740	2	6	1
26	CA03g23730	3	4	2
27	CA08g12110	17	19	14
28	CA06g24800	1	1	1
29	CA04g20200	1	4	0
30	CA02g22210	0	3	0
31	CA07g07130	0	1	0
32	CA01g33400	1	1	0
33	CA11g03120	7	7	3
34	CA06g07990	4	7	2
35	CA03g27920	1	1	0
36	CA12g00660	0	6	0
37	CA05g02420	0	10	0
38	CA11g07190	8	16	0
39	CA06g01330	2	6	1
40	CA08g00930	1	2	1
41	CA05g04110	6	17	3
42	CA05g09740	1	2	1
43	CA06g01810	0	11	0
44	CA08g10300	0	4	0
45	CA09g03330	1	8	1
46	CA10g16070	2	2	2
47	CA05g14690	1	3	0
48	CA06g01690	12	12	10
49	CA02g09210	3	7	1
50	CA04g01080	0	5	0
51	CA12g12580	0	1	0
52	CA10g13550	3	3	3
53	CA11g12930	2	3	1
54	CA12g03360	9	9	9
55	CA12g08200	0	1	0
56	CA12g05630	5	50	5
57	CA03g21800	1	1	1
58	CA05g03460	1	9	0
59	CA05g11340	1	1	1
60	CA06g23050	4	31	0
61	CA06g28000	1	26	1
62	CA07g03930	0	1	0
63	CA10g06840	0	2	0
64	CA03g06520	2	2	2
65	CA11g04200	3	48	3
66	CA12g03580	1	1	1
67	CA02g09960	0	1	0
68	CA07g13980	3	3	3
69	CA04g17870	2	10	1
70	CA02g06290	0	1	0
71	CA10g03720	2	10	1
72	CA12g01980	4	4	2
73	CA01g30840	2	6	2
74	CA10g08780	0	1	0
75	CA06g24580	0	4	0
76	CA01g34170	4	10	3
77	CA11g03460	4	18	1
78	CA06g21560	4	9	2
79	CA01g02220	3	11	2
80	CA04g16830	2	8	1
81	CA07g08580	0	2	0
82	CA03g08260	2	5	1
83	CA12g14320	10	13	9
84	CA02g06430	1	1	0
85	CA02g12210	1	10	0
86	CA05g17180	0	2	0
87	CA11g17880	1	1	0
88	CA08g16010	0	1	0
89	CA07g08630	3	3	1
90	CA11g07220	3	3	2
91	CA08g12770	0	1	0
92	CA06g09120	0	5	0
93	CA08g18310	1	21	1
94	CA10g05760	2	2	1
95	CA08g15090	1	2	1
96	CA06g09690	0	1	0
97	CA04g15560	2	2	2
98	CA01g04100	0	1	0
99	CA06g18770	3	5	2
100	CA12g19630	4	4	3
101	CA06g14600	2	2	1
102	CA09g00860	4	8	1
103	CA05g13250	1	45	1
104	CA02g23930	0	3	0
105	CA11g09210	2	3	1
106	CA02g29470	0	1	0
107	CA12g08460	0	1	0
108	CA02g21260	1	1	1
109	CA02g10580	3	3	3
110	CA12g22920	2	4	1
111	CA07g12110	0	6	0
112	CA08g14320	0	9	0
113	CA01g10850	4	4	2
114	CA11g14510	3	3	2
115	CA08g08640	2	7	1
116	CA06g26340	1	9	1
117	CA12g12910	1	1	1
118	CA04g17050	0	2	0
119	CA10g20950	0	17	0
120	CA03g05170	2	2	2
121	CA10g21390	6	6	4
122	CA04g05880	1	1	1
123	CA02g00380	5	8	4
124	CA01g25180	0	1	0
125	CA07g19260	2	2	1
126	CA01g25450	9	13	7
127	CA04g12100	5	5	3
128	CA08g09110	2	2	1
129	CA01g21440	1	12	1
130	CA08g06550	2	3	1
131	CA02g01380	3	8	2
132	CA01g22860	2	2	0
133	CA02g03890	3	12	3
134	CA07g21070	1	1	1
135	CA12g21990	1	1	0
136	CA02g01030	19	20	14
137	CA09g06710	2	7	2
138	CA04g00930	3	3	3
139	CA09g18270	0	2	0
140	CA01g24320	6	6	5
141	CA02g17720	3	7	0
142	CA06g11170	7	105	3
143	CA09g18180	1	3	0
144	CA07g20380	2	9	2
145	CA01g12540	0	2	0
146	CA11g11820	3	3	2
147	CA04g05710	4	8	1
148	CA02g00810	1	2	0
149	CA07g20030	6	10	6
150	CA09g15250	1	1	1
151	CA03g03100	1	1	1
152	CA01g33640	3	27	3
153	CA02g16450	3	3	1
154	CA09g10570	6	6	2
155	CA05g15630	5	16	4
156	CA05g09180	0	3	0
157	CA08g10140	11	11	6
158	CA02g25950	0	2	0
159	CA01g33390	2	2	2
160	CA12g21200	0	2	0
161	CA03g17740	4	14	2
162	CA09g03000	2	3	1
163	CA09g16780	3	3	1
164	CA01g20830	6	17	2
165	CA01g25840	2	9	0
166	CA12g15940	3	12	0
167	CA09g12940	0	3	0
168	CA12g15260	3	3	2
169	CA01g22090	3	10	2
170	CA01g18140	6	15	3
171	CA05g08580	2	2	2
172	CA09g16250	2	2	2
173	CA04g01710	0	6	0
174	CA09g13090	2	2	2
175	CA03g02760	0	6	0
176	CA03g05230	2	2	1
177	CA11g14650	1	1	1
178	CA03g10430	0	1	0
179	CA09g03120	1	1	0
180	CA03g27410	1	1	0
181	CA03g23970	0	4	0
182	CA01g18490	1	1	1
183	CA07g06570	0	2	0
184	CA12g02250	9	11	0
185	CA10g08830	0	2	0
186	CA01g15780	5	5	4
187	CA11g13530	13	15	7
188	CA03g22590	1	1	0
189	CA06g12880	0	2	0
190	CA11g04770	0	7	0
191	CA01g23870	0	6	0
192	CA03g10290	0	1	0
193	CA01g17780	0	6	0
194	CA11g00060	0	13	0
195	CA03g11740	10	10	8
196	CA03g22620	1	1	0
197	CA01g19360	1	3	1
198	CA12g02340	2	2	1
199	CA01g11170	3	3	3
200	CA03g34150	1	1	0
201	CA07g11070	6	8	5
202	CA11g05680	1	1	1
203	CA03g20660	0	2	0
204	CA09g10380	1	14	1
205	CA02g27440	1	2	0
206	CA03g20430	26	34	20
207	CA03g25010	0	4	0
208	CA08g04400	5	6	2
209	CA02g30540	3	35	1
210	CA07g00620	1	1	1
211	CA08g13550	1	17	0
212	CA06g07410	0	1	0
213	CA08g15250	1	9	0
214	CA06g04140	1	1	0
215	CA03g31500	0	8	0
216	CA01g18960	2	18	2
217	CA03g34480	1	1	1
218	CA03g35350	1	8	1
219	CA02g12720	1	1	1
220	CA01g01440	1	1	1
221	CA12g00250	0	1	0
222	CA02g21460	2	2	1
223	CA01g32250	3	8	2
224	CA04g14760	3	6	2
225	CA03g28530	0	2	0
226	CA11g06810	0	2	0
227	CA07g02660	4	5	4
228	CA03g23500	0	23	0
229	CA09g08490	2	19	2
230	CA08g14120	1	1	1
231	CA05g03940	5	5	3
232	CA11g00880	0	2	0
233	CA11g16750	10	10	6
234	CA05g05470	0	2	0
235	CA03g18800	1	1	0
236	CA11g13980	2	2	2
237	CA07g02080	1	1	1
238	CA02g08370	1	13	1
239	CA03g08440	0	3	0
240	CA03g36620	6	6	5
241	CA02g09020	1	1	1
242	CA09g08230	3	3	1
243	CA07g13080	1	8	1
244	CA06g24630	3	12	3
245	CA05g15570	2	2	2
246	CA02g27850	0	1	0
247	CA02g29870	2	10	0
248	CA05g04700	2	35	0
249	CA10g00330	2	2	1
250	CA07g09350	0	1	0
251	CA10g14420	0	1	0
252	CA08g18920	2	8	1
253	CA12g02870	1	9	1
254	CA12g14820	3	3	3
255	CA12g19810	0	1	0
256	CA09g11220	2	59	2
257	CA04g18320	2	2	1
258	CA03g07040	1	1	1
259	CA09g00640	1	2	1
260	CA11g19910	1	1	0
261	CA10g12860	3	3	2
262	CA09g04550	12	12	9
263	CA10g03020	1	1	0
264	CA12g03130	0	4	0
265	CA01g03430	6	19	3
266	CA09g09040	2	2	2
267	CA12g02660	6	60	4
268	CA04g16310	1	1	1
269	CA11g02900	0	6	0
270	CA05g19300	0	2	0
271	CA05g17220	0	11	0
272	CA07g09820	0	16	0
273	CA08g16190	3	7	1
274	CA11g04430	1	1	1
275	CA05g11680	1	6	0
276	CA08g01180	1	1	0
277	CA11g17550	0	1	0
278	CA10g15480	46	46	39
279	CA10g02370	1	8	1
280	CA04g22240	1	1	1
281	CA08g14970	2	8	2
282	CA12g14790	4	4	4
283	CA10g12130	13	13	8
284	CA10g05680	3	3	3
285	CA08g16220	2	2	2
286	CA08g13610	2	2	1
287	CA01g14250	1	1	0
288	CA01g02380	1	1	1
289	CA12g18020	8	14	6
290	CA05g16790	3	17	1
291	CA10g02080	1	1	1
292	CA02g13110	1	1	1
293	CA12g09670	3	3	3
294	CA10g14990	0	1	0
295	CA02g12190	3	33	0
296	CA11g12290	0	1	0
297	CA07g19810	14	14	10
298	CA04g15150	6	6	5
299	CA10g19950	3	71	2
300	CA11g16650	5	15	1
301	CA06g27380	7	62	3
302	CA12g08720	0	22	0
303	CA08g15750	1	1	1
304	CA12g19770	10	12	7
305	CA02g01610	0	4	0
306	CA10g22290	4	4	4
307	CA10g13420	3	11	3
308	CA10g01850	3	10	0
309	CA03g02560	1	1	1
310	CA10g21920	2	8	2
311	CA09g11470	7	7	5
312	CA09g14300	2	2	1
313	CA11g20180	0	4	0
314	CA06g18920	1	5	1
315	CA03g04920	1	1	1
316	CA06g14010	1	1	1
317	CA03g26700	2	7	0
318	CA04g14200	2	6	1
319	CA08g13090	3	3	2
320	CA03g21770	3	3	2
321	CA03g01200	2	2	1
322	CA02g08030	1	1	0
323	CA10g19040	4	27	1
324	CA02g17910	3	3	2
325	CA07g15840	4	4	2
326	CA08g06450	1	1	1
327	CA08g01480	0	1	0
328	CA02g04930	3	17	2
329	CA10g21210	7	13	1
330	CA06g12310	0	2	0
331	CA02g00220	13	24	10
332	CA11g15260	1	2	0
333	CA12g18800	1	1	0
334	CA06g03710	1	6	0
335	CA06g10800	0	3	0
336	CA03g04070	1	1	0
337	CA06g15830	1	1	1
338	CA03g03950	12	29	7
339	CA09g01250	14	20	11
340	CA07g19380	4	8	2
341	CA11g05110	3	43	0
342	CA04g03990	0	3	0
343	CA07g05850	0	5	0
344	CA07g14000	1	6	0
345	CA04g07290	4	4	3
346	CA07g19030	0	7	0
347	CA08g05810	4	4	1
348	CA12g21810	1	4	0
349	CA05g00950	0	19	0
350	CA02g30030	1	1	1
351	CA08g07410	7	7	4
352	CA09g16430	4	5	4
353	CA03g07520	1	1	1
354	CA06g08870	2	2	2
355	CA03g14710	1	4	1
356	CA12g00010	2	3	1
357	CA01g32090	3	7	1
358	CA06g11030	5	6	3
359	CA05g06070	4	4	1
360	CA03g24610	2	18	0
361	CA03g23340	5	5	5
362	CA03g03310	4	15	2
363	CA01g09480	0	9	0
364	CA02g24960	5	9	3
365	CA09g17740	4	12	3
366	CA03g28040	5	7	3
367	CA12g18250	0	8	0
368	CA01g26310	3	4	1
369	CA08g11420	9	9	4
370	CA05g05670	4	6	2
371	CA12g07540	6	6	5
372	CA02g11280	0	1	0
373	CA05g01700	1	1	1
374	CA04g05100	12	17	11
375	CA09g15420	6	6	6
376	CA06g09830	3	3	2
377	CA09g13110	2	2	2
378	CA03g02040	4	22	1
379	CA05g15770	5	5	3
380	CA12g07090	1	1	0
381	CA01g33050	3	5	2
382	CA02g12090	1	8	0
383	CA01g21020	0	3	0
384	CA04g21320	0	5	0
385	CA04g01900	0	2	0
386	CA02g24390	1	1	1
387	CA10g01680	11	20	8
388	CA06g02240	1	1	1
389	CA05g03630	3	3	1
390	CA11g02410	3	9	2
391	CA05g08620	2	2	1
392	CA01g22110	6	6	3
393	CA08g17860	3	8	2
394	CA01g30650	0	1	0
395	CA05g02940	1	2	0
396	CA10g06410	3	3	1
397	CA01g34720	2	4	1
398	CA08g10480	2	2	1
399	CA02g30860	0	2	0
400	CA03g23830	0	5	0
401	CA03g32140	0	1	0
402	CA01g16620	5	5	5
403	CA11g14830	1	1	1
404	CA03g21470	2	2	2
405	CA02g26610	2	2	2
406	CA04g03500	2	15	1
407	CA08g01110	1	1	1
408	CA01g31520	3	3	1
409	CA11g00740	1	1	1
410	CA08g17130	2	13	1
411	CA11g13700	5	5	4
412	CA05g19670	1	2	0
413	CA06g21260	1	1	0
414	CA09g10010	4	10	2
415	CA05g06910	2	2	2
416	CA02g07110	3	4	2
417	CA11g04980	4	4	3
418	CA09g10330	3	36	1
