	genename	annotation
0	CA01g01390	PREDICTED: putative leucine-rich repeat-containing protein DDB_G0290503-like isoform X2 [Solanum tuberosum]
1	CA01g01460	Leucine-rich repeat protein kinase family protein isoform 1 [Theobroma cacao]
2	CA01g01540	NBS-LRR type resistance protein
3	CA01g02380	Tir-nbs resistance protein
4	CA01g03960	Leucine-rich repeat transmembrane protein kinase, putative
5	CA01g04860	F-box/FBD/LRR-repeat protein
6	CA01g06630	PREDICTED: brassinosteroid LRR receptor kinase-like [Solanum tuberosum]
7	CA01g07830	PREDICTED: putative F-box/LRR-repeat protein At3g18150-like [Solanum tuberosum]
8	CA01g07840	PREDICTED: F-box/FBD/LRR-repeat protein At3g52680-like [Solanum tuberosum]
9	CA01g07860	PREDICTED: putative F-box/LRR-repeat protein At5g02930-like isoform X1 [Solanum tuberosum]
10	CA01g08290	NBS-LRR resistance protein
11	CA01g08540	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
12	CA01g08550	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
13	CA01g08660	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
14	CA01g08670	Leucine-rich repeat protein kinase family protein, putative [Theobroma cacao]
15	CA01g08880	PREDICTED: putative F-box/LRR-repeat protein At3g18150-like [Solanum tuberosum]
16	CA01g08900	PREDICTED: putative F-box/LRR-repeat protein At3g18150-like [Solanum tuberosum]
17	CA01g09570	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
18	CA01g09580	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
19	CA01g09690	putative LRR receptor-like serine/threonine-protein kinase [Arabidopsis thaliana]
20	CA01g09960	Leucine-rich repeat protein kinase family protein, putative [Theobroma cacao]
21	CA01g10670	Leucine-rich repeat-containing protein 50 [Theobroma cacao]
22	CA01g10970	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g34110-like [Solanum lycopersicum]
23	CA01g17380	NBS-LRR type disease resistance protein (Fragment)
24	CA01g17390	Nbs-lrr resistance protein
25	CA01g18010	Putative leucine-rich repeat resistance protein, identical
26	CA01g18050	Putative leucine-rich repeat resistance protein, identical
27	CA01g18520	Nbs-lrr resistance protein
28	CA01g18830	PREDICTED: putative leucine-rich repeat-containing protein DDB_G0290503-like [Cicer arietinum]
29	CA01g21220	PREDICTED: putative leucine-rich repeat-containing protein DDB_G0290503-like [Solanum tuberosum]
30	CA01g21350	Cc-nbs-lrr resistance protein
31	CA01g21360	Leucine-rich repeat containing protein, putative
32	CA01g25310	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
33	CA01g28120	PREDICTED: F-box/FBD/LRR-repeat protein At3g52680-like [Solanum tuberosum]
34	CA01g28130	F-box/FBD/LRR-repeat protein
35	CA01g28140	PREDICTED: F-box/FBD/LRR-repeat protein At3g52680-like [Solanum tuberosum]
36	CA01g28690	PREDICTED: F-box/LRR-repeat protein At5g02910-like [Solanum tuberosum]
37	CA01g28760	PREDICTED: putative F-box/LRR-repeat protein At3g28410-like [Solanum tuberosum]
38	CA01g29400	PREDICTED: pollen-specific leucine-rich repeat extensin-like protein 2-like [Solanum tuberosum]
39	CA01g29940	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum tuberosum]
40	CA01g30000	Cc-nbs-lrr resistance protein
41	CA01g30080	PREDICTED: putative F-box/LRR-repeat protein At3g28410-like [Solanum tuberosum]
42	CA01g30090	PREDICTED: F-box/LRR-repeat protein 25-like [Solanum tuberosum]
43	CA01g30100	PREDICTED: putative F-box/LRR-repeat protein At3g28410-like [Solanum tuberosum]
44	CA01g31430	Cc-nbs-lrr resistance protein
45	CA01g31440	Leucine-rich repeat containing protein, putative
46	CA01g32670	Leucine-rich repeat transmembrane protein kinase
47	CA02g01520	Elicitor-inducible LRR receptor-like protein EILP
48	CA02g01870	Leucine-rich repeat-containing protein
